player_id,player_name,age,position,team,injury_risk_score,age_risk,workload_risk,contact_risk,tackle_risk,recovery_risk,intensity_risk,fatigue_risk,risk_category,risk_rank
30038,Samu Castillejo,28,FW,Valencia,0.6972633587786259,0.31,0.4770992366412214,0.9274809160305344,0.9770992366412213,0.8320610687022901,0.8702290076335878,0.8702290076335878,VERY HIGH,27
29730,Jordan Ayew,31,FWMF,Crystal Palace,0.6961305732484075,0.35,0.6942675159235668,0.9171974522292994,0.9490445859872612,0.9745222929936306,0.445859872611465,0.43312101910828027,VERY HIGH,28
31968,Nicolás Tagliafico,30,DF,Lyon,0.6959372990353698,0.31,0.8971061093247589,0.8086816720257235,0.882636655948553,0.6077170418006431,0.4630225080385852,0.7958199356913184,VERY HIGH,29
29986,Mohamed Camara,23,MF,Monaco,0.695755583126551,0.31,0.7121588089330024,0.9702233250620348,0.8957816377171216,0.8461538461538461,0.8486352357320099,0.8684863523573201,VERY HIGH,30
32116,Marco Verratti,30,MF,Paris S-G,0.6941426799007444,0.31,0.6277915632754343,0.40198511166253104,0.9776674937965261,0.7667493796526055,0.9975186104218362,1.0,VERY HIGH,31
32162,Kyle Walker-Peters,25,DF,Southampton,0.6938762057877814,0.27,0.8665594855305466,0.8086816720257235,0.594855305466238,0.9453376205787781,0.6479099678456591,0.5836012861736335,VERY HIGH,32
29897,Neto Borges,26,DF,Clermont Foot,0.6931527331189711,0.27,0.7652733118971061,0.8086816720257235,0.882636655948553,0.9083601286173634,0.5787781350482315,0.6752411575562701,VERY HIGH,33
31763,Samuel,23,FWMF,Valencia,0.6926783439490445,0.31,0.9681528662420382,0.4012738853503185,0.732484076433121,0.7770700636942676,0.9299363057324841,0.732484076433121,VERY HIGH,34
30688,Theo Hernández,25,DF,Milan,0.6911430868167202,0.27,0.8231511254019293,0.8086816720257235,0.3183279742765273,0.9453376205787781,0.887459807073955,0.8183279742765274,VERY HIGH,35
31360,Neymar,31,MFFW,Paris S-G,0.6900912408759123,0.35,0.8905109489051095,0.9708029197080292,0.15328467153284672,0.8029197080291971,0.9781021897810219,1.0,VERY HIGH,36
29985,Mohamed Camara,25,MF,Roma,0.689755583126551,0.27,0.7121588089330024,0.9702233250620348,0.8957816377171216,0.8461538461538461,0.8486352357320099,0.8684863523573201,VERY HIGH,37
30948,Érik Lamela,30,FWMF,Sevilla,0.6888566878980892,0.31,0.6815286624203821,0.9171974522292994,0.732484076433121,0.9808917197452229,0.7515923566878981,0.7261146496815286,VERY HIGH,38
31206,Farid El Melali,25,FWDF,Angers,0.6838333333333334,0.27,0.26666666666666666,0.8,1.0,1.0,0.8666666666666667,0.9333333333333333,VERY HIGH,39
31983,Nuno Tavares,23,DFMF,Marseille,0.6825294117647058,0.31,0.8235294117647058,0.19117647058823528,0.4852941176470588,0.9558823529411765,0.9558823529411765,0.9117647058823529,VERY HIGH,40
31480,Fabiano Parisi,22,DF,Empoli,0.6821913183279744,0.31,0.7282958199356914,0.8086816720257235,0.594855305466238,0.8954983922829582,0.7395498392282959,0.6414790996784566,VERY HIGH,41
30893,Kouadio Koné,21,MF,M'Gladbach,0.6809913151364764,0.31,0.9305210918114144,0.7965260545905707,0.27791563275434245,0.9230769230769231,0.8138957816377171,0.6724565756823822,VERY HIGH,42
30629,Malo Gusto,19,DF,Lyon,0.6796704180064309,0.35,0.7395498392282959,0.35852090032154343,0.594855305466238,0.8954983922829582,0.9533762057877814,0.9919614147909968,VERY HIGH,43
30543,Degnand Gnonto,19,FWMF,Leeds United,0.6782961783439491,0.35,0.7579617834394905,0.9171974522292994,0.732484076433121,0.9299363057324841,0.9426751592356688,0.7707006369426752,VERY HIGH,44
30830,Gedeon Kalulu,25,DF,Lorient,0.678120578778135,0.27,0.9453376205787781,0.35852090032154343,0.594855305466238,0.8070739549839229,0.8456591639871383,0.8810289389067524,VERY HIGH,45
31524,Ayoze Pérez,29,FW,Betis,0.6777977099236641,0.31,0.2480916030534351,0.9274809160305344,1.0,0.9541984732824428,0.8091603053435115,0.7977099236641222,VERY HIGH,46
30429,Fernando,32,GK,Almería,0.6739285714285713,0.35,0.0,1.0,1.0,1.0,0.7222222222222222,0.9920634920634921,VERY HIGH,47
29876,Ludovic Blas,25,MFFW,Nantes,0.6733467153284671,0.27,0.8686131386861314,0.6788321167883211,0.49635036496350365,0.8613138686131386,0.8102189781021898,0.8832116788321168,VERY HIGH,48
30505,Francisco Garcia,23,DF,Rayo Vallecano,0.6731881028938906,0.31,0.905144694533762,0.35852090032154343,0.594855305466238,0.954983922829582,0.9694533762057878,0.9228295819935691,VERY HIGH,49
30586,Jack Grealish,27,FW,Manchester City,0.6723702290076337,0.27,0.6755725190839694,0.7824427480916031,0.6679389312977099,0.9312977099236641,0.9770992366412213,0.9923664122137404,VERY HIGH,50
